match,teams,stage,city,kickoff_et,block,category,seat,row,buyer_usd,first_seen_et
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,12,10,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,13,10,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,14,10,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,15,10,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,16,10,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,17,10,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,18,10,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,1,11,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,2,11,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,3,11,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,4,11,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,5,11,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,6,11,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,7,11,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,8,11,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,9,11,1420.25,2026-07-03 23:02:59
